OG0000302	AT1G07660.1 pep chromosome_TAIR10_1_2368833_2369735_1 gene_AT1G07660 transcript_AT1G07660.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Histone H4 [Source_UniProtKB/Swiss-Prot;Acc_P59259], AT1G07660.2 pep chromosome_TAIR10_1_2368837_2369734_1 gene_AT1G07660 transcript_AT1G07660.2 gene_biotype_protein_coding transcript_biotype_protein_coding description_Histone H4 [Source_UniProtKB/Swiss-Prot;Acc_P59259], AT1G07820.1 pep chromosome_TAIR10_1_2421089_2422066_-1 gene_AT1G07820 transcript_AT1G07820.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Histone H4 [Source_UniProtKB/TrEMBL;Acc_Q6NR90], AT1G07820.2 pep chromosome_TAIR10_1_2421089_2422066_-1 gene_AT1G07820 transcript_AT1G07820.2 gene_biotype_protein_coding transcript_biotype_protein_coding description_Histone H4 [Source_UniProtKB/TrEMBL;Acc_Q6NR90], AT2G28740.1 pep chromosome_TAIR10_2_12329345_12330059_-1 gene_AT2G28740 transcript_AT2G28740.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_HIS4 description_Histone H4 [Source_UniProtKB/Swiss-Prot;Acc_P59259], AT3G45930.1 pep chromosome_TAIR10_3_16883316_16884009_1 gene_AT3G45930 transcript_AT3G45930.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Histone H4 [Source_UniProtKB/TrEMBL;Acc_Q6NR90], AT3G46320.1 pep chromosome_TAIR10_3_17019785_17020428_-1 gene_AT3G46320 transcript_AT3G46320.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Histone H4 [Source_UniProtKB/Swiss-Prot;Acc_P59259], AT3G53730.1 pep chromosome_TAIR10_3_19912385_19913515_-1 gene_AT3G53730 transcript_AT3G53730.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Histone H4 [Source_UniProtKB/TrEMBL;Acc_Q6NR90], AT5G59690.1 pep chromosome_TAIR10_5_24051474_24052218_1 gene_AT5G59690 transcript_AT5G59690.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Histone H4 [Source_UniProtKB/TrEMBL;Acc_Q6NR90], AT5G59970.1 pep chromosome_TAIR10_5_24145831_24146729_-1 gene_AT5G59970 transcript_AT5G59970.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Histone H4 [Source_UniProtKB/TrEMBL;Acc_Q6NR90], AT5G59970.2 pep chromosome_TAIR10_5_24145831_24146729_-1 gene_AT5G59970 transcript_AT5G59970.2 gene_biotype_protein_coding transcript_biotype_protein_coding description_Histone H4 [Source_UniProtKB/TrEMBL;Acc_Q6NR90]	ENSMUSP00000085006.5, ENSMUSP00000100029.3, ENSMUSP00000100030.3, ENSMUSP00000100032.2, ENSMUSP00000100033.2, ENSMUSP00000100036.2, ENSMUSP00000100037.4, ENSMUSP00000100042.3, ENSMUSP00000100044.2, ENSMUSP00000100048.2, ENSMUSP00000100546.3, ENSMUSP00000129930.2, ENSMUSP00000136357.2
OG0000872	AT2G31030.1 pep chromosome_TAIR10_2_13206004_13207815_1 gene_AT2G31030 transcript_AT2G31030.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_ORP1B description_Oxysterol-binding protein-related protein 1B [Source_UniProtKB/Swiss-Prot;Acc_Q8S8P9], AT2G31035.1 pep chromosome_TAIR10_2_13208667_13208918_1 gene_AT2G31035 transcript_AT2G31035.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Oxysterol-binding-like protein [Source_UniProtKB/TrEMBL;Acc_Q8S8P8]	ENSMUSP00000073957.5, ENSMUSP00000110112.3, ENSMUSP00000112681.2, ENSMUSP00000112895.2, ENSMUSP00000113268.2, ENSMUSP00000113357.2, ENSMUSP00000113735.2, ENSMUSP00000113841.2, ENSMUSP00000157017.2, ENSMUSP00000157342.2
OG0000997	AT2G26300.1 pep chromosome_TAIR10_2_11196996_11201102_1 gene_AT2G26300 transcript_AT2G26300.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_GPA1 description_Guanine nucleotide-binding protein alpha-1 subunit [Source_UniProtKB/Swiss-Prot;Acc_P18064], AT2G26300.2 pep chromosome_TAIR10_2_11196996_11201102_1 gene_AT2G26300 transcript_AT2G26300.2 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_GPA1 description_Guanine nucleotide-binding protein alpha-1 subunit [Source_UniProtKB/Swiss-Prot;Acc_P18064]	ENSMUSP00000000001.5, ENSMUSP00000034198.9, ENSMUSP00000036087.5, ENSMUSP00000057543.7, ENSMUSP00000074259.6, ENSMUSP00000114144.2, ENSMUSP00000124639.2, ENSMUSP00000142326.2, ENSMUSP00000148550.2
OG0001141	AT1G17880.1 pep chromosome_TAIR10_1_6152384_6153982_-1 gene_AT1G17880 transcript_AT1G17880.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_BTF3 description_Basic transcription factor 3 [Source_UniProtKB/Swiss-Prot;Acc_Q9SMW7], AT1G73230.1 pep chromosome_TAIR10_1_27540228_27541952_-1 gene_AT1G73230 transcript_AT1G73230.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Nascent polypeptide-associated complex subunit beta [Source_UniProtKB/Swiss-Prot;Acc_Q9CAT7]	ENSMUSP00000022163.9, ENSMUSP00000099800.2, ENSMUSP00000099801.2, ENSMUSP00000099802.2, ENSMUSP00000099803.5, ENSMUSP00000115500.2, ENSMUSP00000118093.2, ENSMUSP00000152074.2
OG0001013	AT2G36170.1 pep chromosome_TAIR10_2_15172061_15173340_1 gene_AT2G36170 transcript_AT2G36170.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_RPL40B description_Ubiquitin-60S ribosomal protein L40-1 [Source_UniProtKB/Swiss-Prot;Acc_B9DHA6], AT3G52590.1 pep chromosome_TAIR10_3_19505379_19506932_1 gene_AT3G52590 transcript_AT3G52590.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_RPL40B description_Ubiquitin-60S ribosomal protein L40-1 [Source_UniProtKB/Swiss-Prot;Acc_B9DHA6], AT5G09340.1 pep chromosome_TAIR10_5_2896675_2896914_-1 gene_AT5G09340 transcript_AT5G09340.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Ubiquitin family protein [Source_UniProtKB/TrEMBL;Acc_Q9FY81]	ENSMUSP00000080608.5, ENSMUSP00000086852.5, ENSMUSP00000120096.2, ENSMUSP00000121149.2, ENSMUSP00000123263.2, ENSMUSP00000123562.2, ENSMUSP00000137461.2
OG0001331	AT4G15930.1 pep chromosome_TAIR10_4_9036169_9038075_1 gene_AT4G15930 transcript_AT4G15930.1 gene_biotype_protein_coding transcript_biotype_protein_coding description_Dynein light chain [Source_UniProtKB/TrEMBL;Acc_Q84VW0], AT4G15930.2 pep chromosome_TAIR10_4_9036169_9038075_1 gene_AT4G15930 transcript_AT4G15930.2 gene_biotype_protein_coding transcript_biotype_protein_coding description_Dynein light chain [Source_UniProtKB/TrEMBL;Acc_Q84VW0]	ENSMUSP00000009157.4, ENSMUSP00000020775.3, ENSMUSP00000023055.7, ENSMUSP00000103556.4, ENSMUSP00000107720.2, ENSMUSP00000136241.2, ENSMUSP00000154848.2
OG0001469	AT1G51260.1 pep chromosome_TAIR10_1_19003219_19005664_-1 gene_AT1G51260 transcript_AT1G51260.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_LPAT3 description_1-acyl-sn-glycerol-3-phosphate acyltransferase 3 [Source_UniProtKB/Swiss-Prot;Acc_Q9SYC8]	ENSMUSP00000001240.6, ENSMUSP00000024594.3, ENSMUSP00000101026.2, ENSMUSP00000101027.2, ENSMUSP00000101028.2, ENSMUSP00000101029.2, ENSMUSP00000132954.2
OG0001572	AT3G11630.1 pep chromosome_TAIR10_3_3672036_3674159_1 gene_AT3G11630 transcript_AT3G11630.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_BAS1 description_2-Cys peroxiredoxin BAS1_ chloroplastic [Source_UniProtKB/Swiss-Prot;Acc_Q96291]	ENSMUSP00000005292.9, ENSMUSP00000026328.5, ENSMUSP00000102078.2, ENSMUSP00000105355.2, ENSMUSP00000105356.2, ENSMUSP00000114159.2, ENSMUSP00000126451.2
OG0001133	AT4G34460.1 pep chromosome_TAIR10_4_16477031_16479620_-1 gene_AT4G34460 transcript_AT4G34460.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_GB1 description_ELK4 [Source_UniProtKB/TrEMBL;Acc_A0A178V0Y1], AT4G34460.2 pep chromosome_TAIR10_4_16477136_16479504_-1 gene_AT4G34460 transcript_AT4G34460.2 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_GB1 description_ELK4 [Source_UniProtKB/TrEMBL;Acc_A0A178V0Y1], AT4G34460.3 pep chromosome_TAIR10_4_16477136_16479506_-1 gene_AT4G34460 transcript_AT4G34460.3 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_GB1 description_ELK4 [Source_UniProtKB/TrEMBL;Acc_A0A178V0Y1], AT4G34460.4 pep chromosome_TAIR10_4_16477136_16479506_-1 gene_AT4G34460 transcript_AT4G34460.4 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_GB1 description_ELK4 [Source_UniProtKB/TrEMBL;Acc_A0A178V0Y1]	ENSMUSP00000030940.8, ENSMUSP00000031726.9, ENSMUSP00000101241.4, ENSMUSP00000129353.2, ENSMUSP00000130123.2, ENSMUSP00000135091.2
OG0001861	AT1G20110.1 pep chromosome_TAIR10_1_6971424_6975130_1 gene_AT1G20110 transcript_AT1G20110.1 gene_biotype_protein_coding transcript_biotype_protein_coding gene_symbol_FREE1 description_Protein FREE1 [Source_UniProtKB/Swiss-Prot;Acc_Q9ASS2]	ENSMUSP00000020643.4, ENSMUSP00000031229.7, ENSMUSP00000113429.2, ENSMUSP00000143115.2, ENSMUSP00000143209.2, ENSMUSP00000143770.2
